model,forecast_date,horizon,reference_date,location,source,y_true,median,wis,mae,cov_50,cov_95
patchtst,2024-02-10,3,2024-02-24,06,flusight,302.0,163.83349609375,74.27707288659137,138.16650390625,False,True
patchtst,2024-02-10,4,2024-03-02,06,flusight,266.0,113.63909912109375,108.47541525135867,152.36090087890625,False,True
patchtst,2024-02-17,1,2024-02-17,06,flusight,342.0,359.025634765625,27.812307341202448,17.025634765625,True,True
patchtst,2024-02-17,2,2024-02-24,06,flusight,302.0,284.12042236328125,26.80820593792459,17.87957763671875,True,True
patchtst,2024-02-17,3,2024-03-02,06,flusight,266.0,202.27337646484375,36.95036427373472,63.72662353515625,False,True
patchtst,2024-02-17,4,2024-03-09,06,flusight,207.0,151.92401123046875,35.408156817892326,55.07598876953125,False,True
patchtst,2024-02-24,1,2024-02-24,06,flusight,302.0,277.6761474609375,17.342596090565557,24.3238525390625,False,True
patchtst,2024-02-24,2,2024-03-02,06,flusight,266.0,225.2410888671875,20.338609221085257,40.7589111328125,False,True
patchtst,2024-02-24,3,2024-03-09,06,flusight,207.0,192.633544921875,9.136699404509173,14.366455078125,True,True
patchtst,2024-02-24,4,2024-03-16,06,flusight,188.0,159.48529052734375,18.76695025900136,28.51470947265625,False,True
patchtst,2024-03-02,1,2024-03-02,06,flusight,266.0,272.44586181640625,7.2516718325407625,6.44586181640625,True,True
patchtst,2024-03-02,2,2024-03-09,06,flusight,207.0,247.78240966796875,24.895070654827617,40.78240966796875,False,True
patchtst,2024-03-02,3,2024-03-16,06,flusight,188.0,240.34893798828125,28.672433285920512,52.34893798828125,False,True
patchtst,2024-03-02,4,2024-03-23,06,flusight,175.0,211.53778076171875,21.169557601265286,36.53778076171875,False,True
patchtst,2024-03-09,1,2024-03-09,06,flusight,207.0,234.2119140625,16.702327907396402,27.2119140625,False,True
patchtst,2024-03-09,2,2024-03-16,06,flusight,188.0,221.14044189453125,19.188246433423917,33.14044189453125,False,True
patchtst,2024-03-09,3,2024-03-23,06,flusight,175.0,203.79107666015625,17.533497314453122,28.79107666015625,False,True
patchtst,2024-03-09,4,2024-03-30,06,flusight,180.0,195.14495849609375,10.832299565854282,15.14495849609375,False,True
patchtst,2024-03-16,1,2024-03-16,06,flusight,188.0,224.811767578125,20.840836659307065,36.811767578125,False,True
patchtst,2024-03-16,2,2024-03-23,06,flusight,175.0,200.0838623046875,16.529168966542123,25.0838623046875,False,True
patchtst,2024-03-16,3,2024-03-30,06,flusight,180.0,176.00030517578125,5.426086611540421,3.99969482421875,True,True
patchtst,2024-03-16,4,2024-04-06,06,flusight,151.0,141.2333984375,9.192365988026495,9.7666015625,True,True
patchtst,2024-03-23,1,2024-03-23,06,flusight,175.0,194.15130615234375,12.519994599715524,19.15130615234375,True,True
patchtst,2024-03-23,2,2024-03-30,06,flusight,180.0,155.48297119140625,12.762721239172892,24.51702880859375,False,True
patchtst,2024-03-23,3,2024-04-06,06,flusight,151.0,136.2796630859375,7.934363111413044,14.7203369140625,True,True
patchtst,2024-03-23,4,2024-04-13,06,flusight,179.0,123.66558837890625,36.689198130731995,55.33441162109375,False,True
patchtst,2024-03-30,1,2024-03-30,06,flusight,180.0,172.607421875,8.782815312924592,7.392578125,True,True
patchtst,2024-03-30,2,2024-04-06,06,flusight,151.0,142.85205078125,6.141839997664742,8.14794921875,True,True
