model,forecast_date,horizon,reference_date,location,source,y_true,median,wis,mae,cov_50,cov_95
mist,2024-02-24,4,2024-03-16,US,flusight,7326.0,5072.1416015625,1159.7410317595109,2253.8583984375,False,True
mist,2024-03-02,1,2024-03-02,US,flusight,10826.0,6813.052734375,2440.2023068104622,4012.947265625,False,True
mist,2024-03-02,2,2024-03-09,US,flusight,9421.0,6124.2919921875,1755.1301889436143,3296.7080078125,False,True
mist,2024-03-02,3,2024-03-16,US,flusight,7326.0,5867.04150390625,805.4355574898098,1458.95849609375,True,True
mist,2024-03-02,4,2024-03-23,US,flusight,6043.0,6261.24560546875,681.7912453294837,218.24560546875,True,True
mist,2024-03-09,1,2024-03-09,US,flusight,9421.0,6822.146484375,1530.940342858356,2598.853515625,False,True
mist,2024-03-09,2,2024-03-16,US,flusight,7326.0,6494.3896484375,542.7923518172555,831.6103515625,True,True
mist,2024-03-09,3,2024-03-23,US,flusight,6043.0,6251.56640625,382.7286701766304,208.56640625,True,True
mist,2024-03-09,4,2024-03-30,US,flusight,5581.0,6182.865234375,444.3683657438859,601.865234375,True,True
mist,2024-03-16,1,2024-03-16,US,flusight,7326.0,7365.6064453125,271.68056598165765,39.6064453125,True,True
mist,2024-03-16,2,2024-03-23,US,flusight,6043.0,7256.17236328125,711.0363699473505,1213.17236328125,False,True
mist,2024-03-16,3,2024-03-30,US,flusight,5581.0,7125.9091796875,928.126984544837,1544.9091796875,False,True
mist,2024-03-16,4,2024-04-06,US,flusight,5074.0,6837.703125,1187.233284222147,1763.703125,False,True
mist,2024-03-23,1,2024-03-23,US,flusight,6043.0,7736.91943359375,1067.9473679517664,1693.91943359375,False,True
mist,2024-03-23,2,2024-03-30,US,flusight,5581.0,7526.61083984375,1318.9460699728263,1945.61083984375,False,True
mist,2024-03-23,3,2024-04-06,US,flusight,5074.0,7376.76611328125,1593.2986270805027,2302.76611328125,False,True
mist,2024-03-23,4,2024-04-13,US,flusight,4077.0,7233.13330078125,2356.059660538383,3156.13330078125,False,False
mist,2024-03-30,1,2024-03-30,US,flusight,5581.0,8820.7724609375,1677.627867484715,3239.7724609375,False,True
mist,2024-03-30,2,2024-04-06,US,flusight,5074.0,8081.86572265625,1906.6166215183425,3007.86572265625,False,True
mist,2024-03-30,3,2024-04-13,US,flusight,4077.0,8078.2607421875,2750.5666801120924,4001.2607421875,False,True
mist,2024-03-30,4,2024-04-20,US,flusight,2943.0,8956.4873046875,3854.7575203804345,6013.4873046875,False,True
mist,2024-04-06,1,2024-04-06,US,flusight,5074.0,7127.3837890625,1155.2268431555708,2053.3837890625,False,True
mist,2024-04-06,2,2024-04-13,US,flusight,4077.0,6724.08935546875,1723.7489448879076,2647.08935546875,False,True
mist,2024-04-06,3,2024-04-20,US,flusight,2943.0,6537.12939453125,2510.050390200408,3594.12939453125,False,False
mist,2024-04-06,4,2024-04-27,US,flusight,2417.0,6621.0712890625,2914.878818359375,4204.0712890625,False,False
mist,2024-04-13,1,2024-04-13,US,flusight,4077.0,5931.58837890625,1192.958400560462,1854.58837890625,False,True
mist,2024-04-13,2,2024-04-20,US,flusight,2943.0,5629.54833984375,1980.5557901664401,2686.54833984375,False,False
mist,2024-04-13,3,2024-04-27,US,flusight,2417.0,5647.568359375,2253.521207965353,3230.568359375,False,False
mist,2024-04-13,4,2024-05-04,US,flusight,1486.0,5385.09130859375,2954.885606317935,3899.09130859375,False,False
mist,2024-04-20,1,2024-04-20,US,flusight,2943.0,5248.38330078125,1693.7290117612094,2305.38330078125,False,True
mist,2024-04-20,2,2024-04-27,US,flusight,2417.0,5118.525390625,1995.9391418987773,2701.525390625,False,False
mist,2024-04-20,3,2024-05-04,US,flusight,1486.0,5083.05322265625,2655.918318189538,3597.05322265625,False,False
mist,2024-04-20,4,2024-05-11,US,flusight,852.0,4826.34130859375,3108.058907523777,3974.34130859375,False,False
mist,2024-04-27,1,2024-04-27,US,flusight,2417.0,4231.13623046875,1320.8883901579484,1814.13623046875,False,True
mist,2024-04-27,2,2024-05-04,US,flusight,1486.0,4098.2451171875,1959.079396441916,2612.2451171875,False,False
mist,2024-04-27,3,2024-05-11,US,flusight,852.0,4151.44873046875,2369.4817045261548,3299.44873046875,False,False
mist,2024-04-27,4,2024-05-18,US,flusight,681.0,3870.884765625,2366.211019021739,3189.884765625,False,False
mist,2023-11-04,1,2023-11-04,06,flusight,97.0,87.87117004394531,6.966723909792693,9.128829956054688,True,True
mist,2023-11-04,2,2023-11-11,06,flusight,231.0,115.09715270996094,72.58704345371412,115.90284729003906,False,False
mist,2023-11-04,3,2023-11-18,06,flusight,372.0,145.28065490722656,161.34052218893302,226.71934509277344,False,False
mist,2023-11-04,4,2023-11-25,06,flusight,459.0,162.5771484375,205.5148655451899,296.4228515625,False,False
mist,2023-11-11,1,2023-11-11,06,flusight,231.0,107.35702514648438,84.36035648843517,123.64297485351562,False,False
mist,2023-11-11,2,2023-11-18,06,flusight,372.0,145.23806762695312,166.02277478674182,226.76193237304688,False,False
mist,2023-11-11,3,2023-11-25,06,flusight,459.0,186.5169219970703,182.76507868227753,272.4830780029297,False,False
mist,2023-11-11,4,2023-12-02,06,flusight,683.0,209.95668029785156,347.7268645809008,473.04331970214844,False,False
mist,2023-11-18,1,2023-11-18,06,flusight,372.0,298.78167724609375,40.08815314583157,73.21832275390625,True,True
mist,2023-11-18,2,2023-11-25,06,flusight,459.0,467.78216552734375,53.30181381391443,8.78216552734375,True,True
