release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2013-12-31,nat,201352,200149,629,2275,180095,762,602.0,848.0,676.0,,,149.0,1.53023179092069,1.26322218828951
2013-12-31,nat,201352,200150,628,2169,170971,756,666.0,780.0,570.0,,,153.0,1.46160825635238,1.26863620146107
2013-12-31,nat,201352,200151,627,2278,148450,696,707.0,725.0,684.0,,,162.0,1.96048274194864,1.53452340855507
2013-12-31,nat,201352,200152,626,2265,106451,691,719.0,656.0,718.0,,,172.0,2.20435469237044,2.12773952334877
2013-12-31,nat,201352,200201,625,2568,132274,728,785.0,752.0,808.0,,,223.0,2.1347989589969,1.94142461859474
2013-12-31,nat,201352,200202,624,2875,171747,742,837.0,969.0,869.0,,,200.0,1.89441106110338,1.67397392676437
2013-12-31,nat,201352,200203,623,3743,180969,749,1067.0,1533.0,948.0,,,195.0,2.8310876240525,2.0683100420514
2013-12-31,nat,201352,200204,622,4797,166968,728,1460.0,2004.0,1156.0,,,177.0,3.30481032165846,2.8730056058646
2013-12-31,nat,201352,200205,621,5557,188431,729,1556.0,2351.0,1415.0,,,235.0,3.61062761294376,2.94909011786808
2013-12-31,nat,201352,200206,620,5624,192039,728,1542.0,2330.0,1478.0,,,274.0,3.42799040922213,2.92857180051969
2013-12-31,nat,201352,200207,619,5924,187242,712,1557.0,2436.0,1573.0,,,358.0,3.7671509028565,3.16382008310101
2013-12-31,nat,201352,200208,618,5760,184544,708,1509.0,2359.0,1544.0,,,348.0,3.60018070562466,3.12120686665511
2013-12-31,nat,201352,200209,617,5104,186608,707,1208.0,1997.0,1529.0,,,370.0,3.20024162698388,2.73514533138987
2013-12-31,nat,201352,200210,616,3631,168647,674,848.0,1558.0,1007.0,,,218.0,2.92632694450554,2.15301784200134
2013-12-31,nat,201352,200211,615,2977,154942,652,731.0,1252.0,832.0,,,162.0,2.8585713368964,1.92136412334938
2013-12-31,nat,201352,200212,614,2417,148527,617,567.0,1092.0,607.0,,,151.0,2.34744750116675,1.62731355241808
2013-12-31,nat,201352,200213,613,2079,142223,582,547.0,913.0,488.0,,,131.0,2.23498077297822,1.46178888084206
2013-12-31,nat,201352,200214,612,1655,138645,575,397.0,692.0,449.0,,,117.0,1.99354910745034,1.19369613040499
2013-12-31,nat,201352,200215,611,1169,130554,551,327.0,467.0,292.0,,,83.0,1.37167546820205,0.895414924092713
2013-12-31,nat,201352,200216,610,1018,124465,523,247.0,442.0,262.0,,,67.0,1.2703282653525,0.817900614630619
2013-12-31,nat,201352,200217,609,830,117581,504,235.0,389.0,155.0,,,51.0,0.999330535411108,0.705896360806593
2013-12-31,nat,201352,200218,608,672,109945,475,209.0,269.0,147.0,,,47.0,1.17199672167181,0.61121469825822
2013-12-31,nat,201352,200219,607,673,106720,458,169.0,302.0,156.0,,,46.0,1.0347212238185,0.630622188905547
2013-12-31,nat,201352,200220,606,576,100422,449,159.0,236.0,142.0,,,39.0,0.703599154244829,0.57357949453307
2013-12-31,nat,201352,200240,586,2060,176569,754,582.0,805.0,524.0,,,149.0,1.22262328425065,1.16668271327356
2013-12-31,nat,201352,200241,585,2267,186355,785,683.0,872.0,585.0,,,127.0,1.33343810867451,1.21649539856725
2013-12-31,nat,201352,200242,584,2176,192469,831,642.0,878.0,543.0,,,113.0,1.31928966890338,1.13057167647777
2013-12-31,nat,201352,200243,583,2599,207512,863,728.0,1045.0,672.0,,,154.0,1.49483509457726,1.25245768919388
2013-12-31,nat,201352,200244,582,2907,223208,909,823.0,1189.0,741.0,,,154.0,1.47194798338554,1.30237267481452
2013-12-31,nat,201352,200245,581,3225,229454,930,887.0,1272.0,886.0,,,180.0,1.58094034274748,1.40551047268734
