season,model,forecast_date,reference_date,location,horizon,y_true,median,wis,mae
2022-23,patchtst,2022-12-10,2022-12-10,54,1,246.0,249.152587890625,22.35161362523618,3.152587890625
2022-23,patchtst,2022-12-10,2022-12-17,54,2,199.0,242.97972106933594,32.26987293243408,43.97972106933594
2022-23,patchtst,2022-12-10,2022-12-24,54,3,155.0,250.49476623535156,59.55596103502357,95.49476623535156
2022-23,patchtst,2022-12-10,2022-12-31,54,4,172.0,245.53497314453125,56.86915741961935,73.53497314453125
2022-23,patchtst,2022-12-17,2022-12-17,54,1,199.0,204.98583984375,19.858505335268767,5.98583984375
2022-23,patchtst,2022-12-17,2022-12-24,54,2,155.0,195.14682006835938,28.725776619289235,40.146820068359375
2022-23,patchtst,2022-12-17,2022-12-31,54,3,172.0,155.50326538085938,28.33652879466181,16.496734619140625
2022-23,patchtst,2022-12-17,2023-01-07,54,4,148.0,140.46055603027344,32.432733134394105,7.5394439697265625
2022-23,patchtst,2022-12-24,2022-12-24,54,1,155.0,132.2454376220703,17.472052897577697,22.754562377929688
2022-23,patchtst,2022-12-24,2022-12-31,54,2,172.0,98.92964935302734,37.20074102650518,73.07035064697266
2022-23,patchtst,2022-12-24,2023-01-07,54,3,148.0,69.34051513671875,38.09560459966246,78.65948486328125
2022-23,patchtst,2022-12-24,2023-01-14,54,4,48.0,54.66391372680664,14.284619167162026,6.663913726806641
2022-23,patchtst,2022-12-31,2022-12-31,54,1,172.0,81.51625061035156,51.91161358377207,90.48374938964844
2022-23,patchtst,2022-12-31,2023-01-07,54,2,148.0,50.816078186035156,54.29999391638714,97.18392181396484
2022-23,patchtst,2022-12-31,2023-01-14,54,3,48.0,33.18875503540039,10.89836055258046,14.81124496459961
2022-23,patchtst,2022-12-31,2023-01-21,54,4,14.0,14.992202758789062,6.638323264743971,0.9922027587890625
2022-23,patchtst,2023-01-07,2023-01-07,54,1,148.0,95.8752212524414,27.524101373423704,52.124778747558594
2022-23,patchtst,2023-01-07,2023-01-14,54,2,48.0,64.6401138305664,13.909016020401666,16.640113830566406
2022-23,patchtst,2023-01-07,2023-01-21,54,3,14.0,39.64075469970703,14.88951974288277,25.64075469970703
2022-23,patchtst,2023-01-07,2023-01-28,54,4,21.0,13.309226989746094,8.017212899249534,7.690773010253906
2022-23,patchtst,2023-01-14,2023-01-14,54,1,48.0,82.33404541015625,19.381998980978263,34.33404541015625
2022-23,patchtst,2023-01-14,2023-01-21,54,2,14.0,56.965335845947266,24.26448775913405,42.965335845947266
