date,location,location_name,value,value_weighted,num_ili,num_patients
2017-03-26,id,ID,0.554017,0.554017,10,1805
2017-03-26,il,IL,2.73495,2.73495,1348,49288
2017-03-26,in,IN,2.65469,2.65469,136,5123
2017-03-26,ks,KS,2.64509,2.64509,170,6427
2017-03-26,ky,KY,5.49145,5.49145,514,9360
2017-03-26,la,LA,2.77131,2.77131,1465,52863
2017-03-26,ma,MA,2.02522,2.02522,668,32984
2017-03-26,md,MD,3.57217,3.57217,344,9630
2017-03-26,me,ME,1.66667,1.66667,74,4440
2017-03-26,mi,MI,2.69803,2.69803,624,23128
2017-03-26,mn,MN,3.16175,3.16175,207,6547
2017-03-26,mo,MO,2.20751,2.20751,140,6342
2017-03-26,ms,MS,3.44721,3.44721,667,19349
2017-03-26,mt,MT,0.228768,0.228768,8,3497
2017-03-26,nat,NAT,2.88096,2.79765,24375,846072
2017-03-26,nc,NC,4.06883,4.06883,603,14820
2017-03-26,nd,ND,1.85292,1.85292,32,1727
2017-03-26,ne,NE,0.888585,0.888585,26,2926
2017-03-26,nh,NH,0.891892,0.891892,33,3700
2017-03-26,nj,NJ,3.98586,3.98586,620,15555
2017-03-26,nm,NM,1.96868,1.96868,215,10921
2017-03-26,nv,NV,0.89526,0.89526,163,18207
2017-03-26,oh,OH,1.71733,1.71733,322,18750
2017-03-26,ok,OK,4.20508,4.20508,187,4447
2017-03-26,or,OR,0.894415,0.894415,41,4584
2017-03-26,pa,PA,2.63832,2.63832,309,11712
2017-03-26,ri,RI,2.85782,2.85782,121,4234
2017-03-26,sc,SC,5.57259,5.57259,309,5545
2017-03-26,sd,SD,1.79856,1.79856,165,9174
2017-03-26,tn,TN,4.82229,4.82229,540,11198
2017-03-26,tx,TX,4.00722,4.00722,1065,26577
2017-03-26,ut,UT,0.529539,0.529539,83,15674
2017-03-26,va,VA,3.80323,3.80323,3963,104201
2017-03-26,vt,VT,1.42248,1.42248,40,2812
2017-03-26,wa,WA,0.65213,0.65213,32,4907
2017-03-26,wi,WI,1.36986,1.36986,49,3577
2017-03-26,wv,WV,2.73346,2.73346,574,20999
2017-03-26,wy,WY,1.53689,1.53689,60,3904
2017-04-02,ak,AK,3.85832,3.85832,61,1581
2017-04-02,al,AL,3.28208,3.28208,222,6764
2017-04-02,ar,AR,2.15995,2.15995,74,3426
2017-04-02,az,AZ,2.38246,2.38246,488,20483
2017-04-02,ca,CA,1.73982,1.73982,809,46499
