reference_date,location,value,post_mandatory
2026-04-18,AL,26.0,True
2026-04-25,AL,28.0,True
2026-05-02,AL,20.0,True
2026-05-09,AL,20.0,True
2026-05-16,AL,24.0,True
2026-05-23,AL,23.0,True
2020-10-17,AR,0.0,False
2020-10-24,AR,4.0,False
2020-10-31,AR,8.0,False
2020-11-07,AR,14.0,False
2020-11-14,AR,10.0,False
2020-11-21,AR,6.0,False
2020-11-28,AR,13.0,False
2020-12-05,AR,6.0,False
2020-12-12,AR,12.0,False
2020-12-19,AR,11.0,False
2020-12-26,AR,9.0,False
2021-01-02,AR,20.0,False
2021-01-09,AR,20.0,False
2021-01-16,AR,17.0,False
2021-01-23,AR,13.0,False
2021-01-30,AR,21.0,False
2021-02-06,AR,9.0,False
2021-02-13,AR,19.0,False
2021-02-20,AR,16.0,False
2021-02-27,AR,10.0,False
2021-03-06,AR,10.0,False
2021-03-13,AR,21.0,False
2021-03-20,AR,13.0,False
2021-03-27,AR,14.0,False
2021-04-03,AR,11.0,False
2021-04-10,AR,14.0,False
2021-04-17,AR,16.0,False
2021-04-24,AR,18.0,False
2021-05-01,AR,15.0,False
2021-05-08,AR,6.0,False
2021-05-15,AR,6.0,False
2021-05-22,AR,3.0,False
2021-05-29,AR,1.0,False
2021-06-05,AR,7.0,False
2021-06-12,AR,1.0,False
2021-06-19,AR,4.0,False
2021-06-26,AR,4.0,False
2021-07-03,AR,2.0,False
2021-07-10,AR,1.0,False
2021-07-17,AR,1.0,False
2021-07-24,AR,1.0,False
2021-07-31,AR,0.0,False
2021-08-07,AR,3.0,False
2021-08-14,AR,2.0,False
2021-08-21,AR,3.0,False
2021-08-28,AR,5.0,False
2021-09-04,AR,2.0,False
2021-09-11,AR,0.0,False
2021-09-18,AR,2.0,False
2021-09-25,AR,3.0,False
2021-10-02,AR,0.0,False
2021-10-09,AR,3.0,False
2021-10-16,AR,4.0,False
2021-10-23,AR,3.0,False
2021-10-30,AR,3.0,False
2021-11-06,AR,3.0,False
